ID,Gender,Grade,Rating,Promotion,Skill,Experience,Pay Position,Increment,Age,CGExperience,Status
1111111371,M,Level3,2,No,Tele,6.5,0.7,149063,28.6,3.81,Active
1111111373,M,Level3,3,No,Dig,10.7,1.1,133465,34.2,3.79,Active
1111111375,M,Level1,1,Yes,Jav,3.8,1.1,128876,29.7,3.77,Active
1111111381,M,Level4,3,No,Tele,12.4,1.1,185900,36.4,3.63,Active
1111111382,M,Level3,1,Yes,Tele,7.1,0.8,279040,28.9,3.62,Active
1111111386,M,Level1,1,Yes,Ora,3.6,1,116150,25.9,3.55,Active
1111111389,M,Level1,1,Yes,Custom,3.6,1,120367,27.7,3.54,Active
1111111393,F,Level3,3,No,Dig,7.4,1.2,97902,31.4,3.48,Active
1111111394,M,Level2,3,No,Custom,4.8,1,0,27.7,3.46,Exited
1111111395,M,Level4,2,No,Tele,11.7,1.3,234046,34,3.41,Active
1111111403,M,Level3,3,No,Custom,4.8,1.2,80146,33.6,3.2,Active
1111111405,M,Level2,1,Yes,Tele,5.3,1,179376,28.2,3.17,Active
1111111410,M,Level3,3,No,Dig,6.1,0.7,143344,31.5,3.01,Active
1111111413,M,Level2,4,No,DB,8.6,1,0,34,2.96,Exited
1111111418,M,Level1,3,No,Jav,3,0.9,53900,26.2,2.95,Active
1111111419,M,Level4,3,No,Dig,12.6,1.3,0,37.7,2.91,Exited
1111111421,M,Level3,2,Yes,Dig,10.2,1.4,286325,33.5,2.87,Active
1111111423,M,Level1,3,No,Jav,2.9,0.9,51450,25.9,2.87,Active
1111111429,M,Level3,3,No,Dig,8.5,1,121083,36.1,2.83,Active
1111111431,M,Level1,3,No,Cons,2.8,0.9,0,27.1,2.81,Exited
1111111434,F,Level2,3,Yes,Cons,11.7,1.2,81453,35.1,2.78,Exited
1111111440,M,Level1,3,Yes,ERP,6.8,1.4,101723,33.1,2.76,Active
1111111441,M,Level3,3,No,Inf,10.7,1.4,97160,39.7,2.74,Active
1111111442,M,Level3,3,No,Dotnet,9.7,0.9,96473,37,2.74,Active
1111111443,F,Level2,1,Yes,DB,5.9,1.1,160378,28.7,2.72,Active
1111111445,F,Level1,3,No,Dig,2.7,0.8,51450,26,2.71,Active
1111111447,M,Level1,3,No,Dotnet,2.7,1,53900,25.7,2.69,Active
1111111448,M,Level2,3,No,Dig,5.2,0.8,84178,26.7,2.67,Active
1111111449,M,Level1,2,No,Tele,2.7,0.7,93700,26.9,2.66,Exited
1111111450,M,Level3,2,Yes,Custom,10,1.3,291409,32.6,2.66,Active
1111111452,M,Level2,2,No,Jav,6.4,1.2,102612,27.9,2.64,Active
1111111454,M,Level3,3,No,Custom,10.8,1.2,78526,36.5,2.62,Active
1111111458,M,Level3,2,No,Custom,6.5,0.8,132797,29.1,2.59,Active
1111111459,M,Level3,3,No,Jav,7,0.9,112484,31,2.59,Active
1111111460,F,Level1,3,No,Jav,2.6,0.8,49000,24.5,2.57,Exited
1111111462,F,Level1,2,No,Jav,2.6,0.9,76950,26,2.57,Active
1111111464,F,Level1,3,No,Jav,2.6,0.8,49000,25.6,2.57,Active
1111111465,M,Level1,3,No,Jav,2.6,0.8,49000,24.6,2.57,Active
1111111469,M,Level1,3,No,Dig,2.6,0.8,0,24.6,2.55,Exited
1111111471,M,Level1,3,No,ERP,2.6,0.9,49000,26.4,2.53,Active
1111111472,M,Level1,3,No,Jav,2.5,0.9,51450,23.9,2.51,Exited
1111111476,F,Level3,3,No,Jav,5.9,0.9,81858,31.2,2.48,Active
1111111478,F,Level2,1,Yes,Jav,5.1,1.2,182940,26.8,2.45,Active
1111111482,F,Level2,3,No,HCM,6.9,1,83925,28.4,2.37,Active
1111111485,F,Level3,3,No,Dig,9.1,1,124835,31.7,2.34,Exited
1111111487,M,Level3,2,Yes,Custom,9.7,1.3,230413,37.5,2.28,Exited
1111111489,M,Level3,3,No,Dig,5.6,0.8,101452,29.7,2.26,Active
1111111491,F,Level3,3,No,Dig,10.4,1.1,92880,33.2,2.26,Active
1111111494,M,Level2,3,No,Dig,7.4,1.2,0,30,2.24,Exited
1111111496,F,Level1,3,No,Jav,2.2,0.8,49000,27.8,2.22,Exited
1111111497,M,Level3,2,No,Custom,4.5,0.7,129811,27.7,2.21,Active
1111111501,M,Level2,2,Yes,Dotnet,5.7,1.2,154702,29.5,2.19,Exited
1111111504,M,Level3,4,No,BI,8.4,1,0,35.7,2.18,Active
1111111514,F,Level1,3,No,Jav,4.6,1.1,58373,30.1,2.16,Exited
1111111521,M,Level4,1,No,Jav,8.2,1,273303,30.8,2.1,Active
1111111528,M,Level3,3,No,Custom,8.1,1,163386,31.6,2.07,Exited
1111111532,M,Level3,3,No,Inf,5.8,1.8,115699,33.4,2.05,Exited
1111111533,M,Level2,2,Yes,Custom,5.5,1,156659,28.4,2.05,Active
1111111534,M,Level3,3,Yes,Jav,12.5,1.5,221701,42.2,2.05,Active
1111111535,F,Level2,2,Yes,Jav,5.3,1.3,91921,27.3,2.04,Active
1111111536,M,Level3,3,No,Custom,7.2,0.9,98626,34.4,2.03,Active
1111111537,F,Level2,3,Yes,Custom,5.6,1.1,115119,28.7,2.01,Active
1111111541,M,Level3,3,No,DB,7.6,0.9,106221,29.7,1.99,Active
1111111546,F,Level2,2,Yes,Dotnet,5.2,1.1,198493,28,1.97,Active
1111111548,F,Level3,2,Yes,Dig,7.9,1.1,130030,37.7,1.97,Active
1111111551,M,Level3,2,Yes,Custom,6.7,0.9,192578,27.5,1.96,Exited
1111111553,M,Level4,3,No,Reporting,11.9,1.1,261341,37.9,1.95,Active
1111111554,M,Level3,3,No,Custom,7.6,1.1,0,28.7,1.95,Exited
1111111564,M,Level3,3,No,Jav,8.6,1,71192,37.3,1.89,Active
1111111569,M,Level2,3,No,Jav,5.2,0.7,64118,31.5,1.86,Active
1111111573,M,Level2,3,No,Dig,5.3,0.9,85298,27.2,1.83,Active
1111111581,F,Level2,3,No,Custom,6.1,1.3,0,26.6,1.79,Exited
1111111582,F,Level3,2,No,Inf,6,1,143214,35.3,1.79,Active
1111111584,M,Level2,2,Yes,Dig,5.5,1,177467,26.8,1.77,Active
1111111593,M,Level2,3,No,Custom,4.5,0.9,76893,31,1.76,Active
1111111594,M,Level3,3,No,Custom,10.5,0.8,102777,34.1,1.74,Active
1111111595,M,Level3,3,No,Dig,7.3,0.8,104171,29.3,1.74,Active
1111111600,M,Level3,1,No,Jav,7.4,1.1,91220,30.2,1.72,Active
1111111603,M,Level2,4,No,Dig,5,0.9,0,30,1.68,Active
1111111605,M,Level3,3,No,Dig,7.3,0.9,110372,29.6,1.68,Active
1111111606,M,Level2,3,No,Dotnet,5.9,1.4,97804,28.5,1.68,Exited
1111111608,F,Level3,1,No,Dig,5.5,0.9,165524,31,1.68,Active
1111111615,F,Level2,3,No,BI,4.8,1.2,78086,29.6,1.65,Active
1111111617,M,Level2,3,No,Custom,1.7,1,90466,31.6,1.64,Exited
1111111618,M,Level2,3,No,Custom,4.1,0.9,78976,28.8,1.63,Active
1111111624,M,Level3,3,No,Custom,6.4,1.2,126948,28.4,1.58,Active
1111111625,M,Level3,5,No,Dig,5.9,0.7,0,29.2,1.57,Exited
1111111626,M,Level2,2,No,Custom,5.9,1.3,108119,27.7,1.57,Active
1111111628,M,Level1,3,No,Inf,3.7,0.7,44069,25.2,1.56,Exited
1111111630,M,Level2,3,No,Dig,6.1,1.1,101075,29.2,1.55,Active
1111111635,M,Level2,3,No,Custom,5,1.2,78096,29.5,1.52,Active
1111111638,M,Level1,3,No,Dotnet,4.5,1.1,59545,25.5,1.51,Active
1111111639,M,Level3,3,No,Jav,6.8,1.3,10000,29.3,1.51,Exited
1111111645,M,Level2,1,No,Dig,3.8,0.9,44671,26,1.48,Active
1111111655,M,Level3,3,No,Dig,6.5,0.9,112123,32.6,1.43,Active
1111111660,M,Level3,2,No,Dig,10,1.2,152873,33.4,1.41,Active
1111111661,M,Level2,3,No,Dig,3.9,0.7,74828,28.1,1.4,Active
1111111662,M,Level2,3,No,Dig,4.9,0.9,83583,30.3,1.39,Exited
1111111667,M,Level3,3,No,BI,5.5,0.9,103923,34.5,1.32,Active
1111111668,M,Level3,2,No,Dig,6.4,0.9,155745,31.1,1.32,Exited
1111111675,M,Level2,3,No,Dig,6.3,0.9,103531,30.3,1.28,Active
1111111677,F,Level2,2,No,Ora,5,0.8,144843,27.4,1.26,Active
1111111679,F,Level3,2,No,Custom,9.9,1.3,144923,35.1,1.26,Exited
1111111680,M,Level3,2,No,Inf,5.8,0.7,134148,34.5,1.25,Active
1111111681,M,Level2,4,No,Dig,4.5,0.9,0,26.8,1.25,Exited
1111111683,M,Level3,3,No,BI,6.6,0.7,124156,28.2,1.24,Active
1111111684,M,Level2,3,Yes,Dig,3.8,0.9,132168,34.8,1.22,Exited
1111111685,M,Level1,3,No,Dig,1.2,0.9,58090,25,1.21,Active
1111111686,M,Level2,2,Yes,Dig,4.3,0.9,180493,30.9,1.21,Active
1111111691,M,Level2,3,No,Dig,5.8,0.8,95852,30.1,1.17,Active
1111111694,M,Level3,1,No,Dig,3.2,1,183723,32.6,1.14,Exited
1111111695,M,Level2,3,No,Jav,1.2,0.8,48665,27.6,1.13,Active
1111111698,M,Level2,3,No,Dig,1.1,0.8,81703,32.4,1.11,Exited
1111111700,F,Level2,1,Yes,Dig,4.9,1.2,365796,25.5,1.09,Active
1111111704,M,Level3,1,No,Dig,6.7,0.9,211257,31,1.05,Active
1111111706,F,Level2,3,No,Dig,4,0.7,69328,25.8,1.03,Exited
1111111708,M,Level3,2,No,Dig,9.5,1.2,153123,31.7,1.01,Active
1111111709,M,Level2,3,No,Jav,4.3,0.8,52650,27.6,0.99,Active
1111111713,M,Level2,2,No,Dig,3.5,0.7,225796,25,0.99,Active
1111111715,M,Level2,5,No,Jav,4.1,0.9,0,32.1,0.97,Exited
1111111727,M,Level3,3,No,Dig,5.7,0.7,91830,31,0.88,Exited
1111111729,M,Level3,3,No,Dig,10.3,1.2,86235,34.6,0.86,Active
1111111730,M,Level3,3,No,Jav,6.9,0.8,86883,30.9,0.83,Active
1111111734,M,Level3,3,No,Test,6,0.9,74371,29.5,0.79,Active
1111111743,M,Level4,3,No,Dig,5,1.4,124113,36.6,0.71,Exited
1111111744,M,Level1,3,No,Dig,3.3,0.6,30460,29.5,0.7,Exited
1111111747,M,Level2,3,No,Dig,6.7,1.1,70639,31.7,0.69,Exited
1111111749,M,Level4,3,No,Dig,11.8,1.4,182667,36.9,0.68,Active
1111111751,M,Level4,3,No,Dig,13.4,1.3,109509,40.8,0.67,Active
1111111754,M,Level2,3,No,Dig,3.7,0.8,48679,24.4,0.64,Active
1111111758,F,Level2,3,No,Dig,5.3,0.6,37715,26.2,0.62,Exited
1111111759,M,Level2,3,No,Test,5.4,0.8,44238,30.1,0.63,Active
1111111760,M,Level2,3,No,Jav,6.1,1,53267,28.7,0.62,Active
1111111765,M,Level3,3,No,Ora,5.3,1,71551,28.2,0.59,Active
1111111766,M,Level2,3,No,Dig,4.4,0.8,45710,27,0.58,Exited
1111111769,M,Level3,3,No,Custom,5.2,0.9,60808,27.7,0.57,Active
1111111771,M,Level2,3,No,Jav,4.4,0.9,40770,27.8,0.56,Active
1111111781,M,Level3,3,No,Dig,5.5,1,0,29.5,0.49,Active
1111111793,M,Level1,3,No,Jav,0.5,1.2,0,23,0.48,Active
1111111794,M,Level1,3,No,Jav,0.5,1.2,0,21.5,0.48,Active
1111111795,M,Level1,3,No,Dig,0.5,1.1,0,22.4,0.48,Active
1111111801,M,Level1,3,No,Tele,0.5,1,0,24,0.48,Active
1111111806,F,Level2,3,No,Inf,5.2,1.3,0,39.5,0.43,Active
1111111808,M,Level3,3,No,Dig,5.4,1,0,29.9,0.42,Active
1111111816,M,Level3,3,No,Dig,5.5,0.9,0,31,0.36,Exited
1111111817,M,Level2,5,No,Dig,3,0.8,0,24.6,0.36,Exited
1111111827,M,Level2,3,No,Dig,4.7,1.4,0,27.4,0.3,Active
1111111838,M,Level2,3,No,Test,4.3,1.2,0,26.8,0.26,Exited
1111111839,F,Level2,3,No,Dig,3.5,0.9,0,26.6,0.26,Active
1111111841,M,Level3,3,No,Dig,13.7,1.1,131713,36.8,6.05,Exited
1111111843,M,Level3,3,Yes,Dig,14,0.7,105478,37,13.04,Active
1111111851,M,Level2,1,Yes,Dig,11.9,1.1,165726,32.5,7.53,Active
1111111852,M,Level3,2,Yes,Dig,12.3,1.1,256822,32.3,7.46,Active
1111111853,M,Level2,3,No,Dig,7,1.1,93525,30.9,7.05,Active
1111111860,M,Level2,3,Yes,Dig,9.7,1.1,101118,37.5,6.42,Active
1111111863,M,Level2,3,No,Dig,9.5,1,247142,35.6,6.29,Active
1111111866,M,Level2,3,Yes,Dig,6.1,1.1,122354,31.4,6.13,Active
1111111867,M,Level2,3,No,Dig,8.7,0.9,81794,42.8,6.08,Active
1111111874,M,Level3,2,Yes,Dig,15.1,0.7,198024,36.6,11.46,Active
1111111877,M,Level3,1,Yes,Custom,7.1,0.9,243750,30.4,7.12,Active
1111111885,M,Level3,3,No,Dig,8.9,0.7,172675,30.9,5,Active
1111111886,F,Level2,2,No,Dig,4.9,0.8,119760,27.1,4.99,Active
1111111887,M,Level2,3,No,Dotnet,8.2,1.1,82806,31,4.96,Active
1111111888,M,Level3,3,No,Dig,10.8,1.1,131751,38.6,4.91,Exited
1111111894,F,Level3,2,No,Dig,8.9,0.9,146161,30.7,4.72,Active
1111111895,M,Level2,3,No,Dig,4.6,0.7,71983,26.6,4.59,Active
1111111897,F,Level2,2,No,Dig,4.6,0.6,103373,27,4.59,Active
1111111898,F,Level2,2,No,Dig,4.6,0.7,111781,27.1,4.59,Active
1111111899,M,Level2,3,No,Dig,7,1.3,106179,35.5,4.58,Active
1111111900,F,Level2,3,No,Dig,6.5,0.9,80834,27.6,4.37,Exited
1111111902,M,Level2,4,No,Dig,6,0.9,0,34.5,4.22,Exited
1111111912,M,Level3,2,No,Custom,8.8,1.2,138515,31.3,3.6,Active
1111111914,M,Level4,3,No,Dig,14.4,1.1,208819,42.5,3.42,Exited
1111111918,M,Level2,5,No,Dig,8.9,0.9,0,30.4,3.29,Exited
1111111920,M,Level2,3,No,Dig,8.2,0.9,86265,36,3.24,Active
1111111928,M,Level2,3,No,Custom,5.4,1,86204,30.6,3.1,Active
1111111932,F,Level3,3,No,Dig,9.9,0.7,177300,32,2.98,Active
1111111939,M,Level2,3,No,Custom,6.9,1,90824,31.7,2.89,Active
1111111941,M,Level2,2,No,Dig,9.4,1.3,125663,34.4,2.88,Active
1111111942,M,Level2,3,No,Dig,8.7,0.9,86204,29.5,2.87,Active
1111111947,M,Level4,2,No,Dig,14.6,1.3,153672,38.4,2.81,Active
1111111949,M,Level2,3,No,Dig,7.1,1.1,41816,31.7,2.65,Active
1111111950,F,Level3,2,No,Dig,9,1,159988,32.9,2.64,Active
1111111953,M,Level3,3,No,Dig,11,0.9,156143,35,2.57,Active
1111111955,M,Level2,2,No,Dig,6.5,1.2,109562,33.4,2.55,Active
1111111966,F,Level3,2,No,Dig,8.7,1.3,153853,32,2.41,Active
1111111973,M,Level4,3,No,Dig,10.4,0.8,167880,33.9,2.32,Active
1111111987,M,Level4,2,No,Dig,11.5,1,240401,34.3,1.79,Active
1111111988,M,Level4,3,No,Dig,13.1,0.9,149033,35.7,1.76,Active
1111111990,M,Level4,1,No,Dotnet,12.2,1.1,264014,34,1.7,Active
1111111993,M,Level3,3,No,Dig,8.5,0.9,136080,34.6,1.58,Active
1111111999,M,Level2,2,No,Dotnet,7.7,1.5,126770,32.7,1.54,Active
1111112005,M,Level2,3,No,Custom,7.8,1.6,81422,33.6,1.47,Exited
1111112013,M,Level2,2,No,Dig,1.3,1.3,119268,27.6,1.33,Active
1111112014,M,Level2,4,No,Dig,6.2,1.6,0,29.1,1.3,Exited
1111112017,F,Level4,3,No,Dig,11.1,1.2,228115,38,1.26,Active
1111112019,F,Level2,2,No,Dig,6.2,1.2,115824,28.2,1.24,Active
1111112020,M,Level3,2,No,Custom,9.4,1.3,155852,35.1,1.19,Active
1111112022,M,Level2,3,No,Dig,5.7,1.3,107017,30,1.18,Active
1111112024,M,Level2,2,No,Dig,9,1.3,121950,31,1.17,Active
1111112026,M,Level2,2,No,Dig,6.1,1.3,121950,31.3,1.14,Active
1111112033,M,Level2,3,No,Dig,5.7,1.2,96266,34.5,1.03,Active
1111112036,M,Level2,3,No,Dig,4.4,1.1,90892,35.7,1.01,Active
1111112039,M,Level2,3,No,Dig,9,1.1,95568,31.7,0.96,Active
1111112040,M,Level2,3,No,Dig,5.2,1.2,96643,27.6,0.96,Active
1111112042,F,Level3,3,No,Dig,9.4,1.2,0,32.9,0.95,Exited
1111112048,M,Level4,1,No,Dotnet,13.9,1.2,239904,34.2,0.85,Active
1111112055,F,Level3,4,No,Dig,7.8,0.7,0,33.5,0.8,Active
1111112062,M,Level2,5,No,Dig,6.5,1.2,0,34.4,0.73,Exited
1111112067,F,Level2,3,No,Dig,6.9,1.5,79974,29.5,0.67,Active
1111112068,M,Level3,3,No,Dig,7.2,1.1,83971,29.8,0.65,Active
1111112072,M,Level3,2,No,Dotnet,6.8,1.3,90780,33.1,0.63,Active
1111112073,M,Level3,3,No,Dotnet,8.4,1.2,52602,31.6,0.63,Active
1111112074,M,Level2,2,No,Dig,6.5,1.6,95463,31,0.63,Active
1111112075,M,Level2,3,No,Dig,4.9,1.4,71667,30.9,0.63,Active
1111112078,M,Level2,3,No,Custom,6.1,1.6,60338,26.2,0.59,Active
1111112079,F,Level2,5,No,Dig,4.9,0.8,0,32.5,0.59,Exited
1111112080,M,Level2,3,No,Dig,5.1,1.1,57121,27.7,0.57,Active
1111112081,M,Level2,3,No,Dig,6.4,1.4,64156,29.8,0.56,Active
1111112082,M,Level2,3,No,Dig,5.5,1.1,50506,27.2,0.55,Active
1111112083,M,Level2,3,No,Dig,4.5,1,50153,27.6,0.55,Active
1111112084,M,Level3,3,No,Dig,9.5,0.6,43317,30.6,0.53,Active
1111112091,M,Level2,3,No,Dig,0.4,1.1,0,27.1,0.43,Active
1111112096,M,Level3,3,No,Dig,9.2,1.4,0,32.2,0.39,Exited
1111112099,M,Level4,3,No,Dotnet,0.3,1.1,0,41.9,0.38,Active
1111112103,F,Level2,3,No,Dig,4.7,0.8,0,26.7,0.36,Active
1111112104,F,Level4,3,No,Dig,10.3,0.9,0,33.4,0.34,Active
1111112109,F,Level2,3,No,Dig,5,1.4,0,29.5,0.32,Active
1111112110,M,Level2,3,No,Dig,4.8,1.2,0,29.9,0.32,Exited
1111112111,M,Level3,3,No,Dig,6.1,1.1,0,28.9,0.32,Active
1111112114,F,Level2,3,No,Dig,6.5,1.3,0,28.9,0.28,Active
1111112116,M,Level2,3,No,Dig,0.3,1.2,0,27.8,0.28,Active
1111112118,M,Level3,3,No,Dig,7.4,1.2,0,30.3,0.27,Exited
1111112127,F,Level3,2,No,Dig,9.8,1.1,167197,33.7,3.33,Active
1111112136,M,Level3,3,No,Dotnet,8.6,1.4,51922,33.6,0.52,Active
1111112140,M,Level2,3,No,Dig,0.3,1.6,0,32.1,0.26,Active
1111112142,M,Level3,3,No,Appdeva,22.2,1.1,0,43.6,19.13,Active
1111112145,M,Level2,3,Yes,Test,17,1.3,77441,40.4,16.62,Active
1111112148,M,Level2,3,No,Dotnet,30,1.1,45139,53.2,16.15,Active
1111112152,M,Level4,3,No,Test,18.5,0.9,64187,45.4,14.16,Active
1111112153,M,Level3,3,Yes,Test,24.3,1.2,5000,43.6,13.67,Active
1111112157,M,Level4,3,No,Test,15.9,1.2,20000,38.1,13.08,Active
1111112158,F,Level4,3,No,Jav,12.8,0.7,98091,35.7,12.88,Active
1111112167,M,Level3,2,No,Test,12,1.1,100430,34.6,12.04,Active
1111112172,F,Level4,2,No,Test,14.3,0.9,101670,38.3,11.89,Active
1111112178,M,Level3,2,Yes,Engg,11.4,0.9,98820,34,11.48,Active
1111112184,F,Level3,1,Yes,Engg,20.4,1,152635,43.2,11.25,Active
1111112186,M,Level3,3,Yes,Dotnet,17.9,1,47112,37.1,11.06,Active
1111112187,M,Level3,3,Yes,Dotnet,14.9,1.4,59917,39,11.02,Active
1111112190,M,Level3,2,No,Dotnet,10.8,0.9,110136,33.8,10.85,Active
1111112192,M,Level4,2,No,Dotnet,16.2,0.8,99243,38.5,10.76,Active
1111112195,M,Level2,1,Yes,Engg,13.9,1,123358,37.8,10.63,Active
1111112197,M,Level4,2,No,Test,13.3,0.8,131283,37.5,10.55,Active
1111112199,M,Level4,3,No,Test,14.7,0.9,74421,36.4,10.39,Active
1111112200,M,Level3,3,Yes,Engg,12.9,1,56978,40.7,10.35,Active
1111112201,M,Level3,3,Yes,Engg,12.8,1,67319,37.9,10.35,Active
1111112204,M,Level2,3,No,Test,10.2,0.9,38274,32.9,10.18,Active
1111112205,M,Level3,2,Yes,Test,21.1,1.2,100581,44.6,10.18,Active
1111112231,M,Level3,3,No,Engg,15.3,0.7,50298,39.4,9.34,Active
1111112236,M,Level4,2,No,Engg,17.7,0.8,85005,41.4,9.16,Active
1111112243,M,Level2,3,No,Test,16.6,0.8,33881,44.9,8.8,Active
1111112244,M,Level3,3,Yes,Engg,15.8,0.9,47490,41,8.7,Active
1111112250,M,Level4,3,No,Test,13.6,0.8,133429,38.4,8.26,Active
